category,titles,date,descriptions,urls
national,Ram Mandir bans mobile phones on premises,"Sunday, 26 May, 2024","Shri Ram Janmbhoomi Teerth Kshetra and Ayodhya administration have decided to impose a complete ban on mobile phones on Ram Mandir premises keeping in mind devotees' facilities and security, temple trustee Anil Mishra said. ""We appeal to all the devotees to respect this decision...We have complete facilities to keep mobile phones safe,"" he stated.",https://www.hindustantimes.com/india-news/ayodhyas-ram-temple-bans-use-of-mobile-phones-on-premises-101716649361021-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Bhavesh's custody extended till May 29 in Mumbai hoarding collapse case,"Sunday, 26 May, 2024","A court on Sunday extended till May 29 the police custody of Ego Media owner Bhavesh Bhinde in the Mumbai hoarding collapse case. The 'illegal' hoarding weighing 2.5 lakh kg, which collapsed in Ghatkopar during dust storm, had been installed by Ego Media. Bhavesh has been booked for culpable homicide not amounting to murder. Seventeen people died in the incident.",https://www.latestly.com/india/news/ghatkopar-hoarding-crash-case-mumbai-court-extends-ad-firm-director-bhavesh-bhindes-police-custody-till-may-29-5991190.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,"Hyderabad's joint capital status nears end, no capital for AP yet","Sunday, 26 May, 2024","As Hyderabad is set to cease being the joint capital of Andhra Pradesh and Telangana on June 2, the future capital and its location for the remaining Andhra Pradesh remains uncertain even 10 years after the bifurcation. Andhra Pradesh's ruling YSRCP and principal opposition TDP continue to toe their respective positions of a single and multiple capital cities.",https://thefederal.com/category/states/south/andhra-pradesh/ap-stares-at-uncertainty-as-hyderabads-joint-capital-status-nears-end-124266?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,"Man with lotus tattoo says he'll vote for Congress, party shares video","Sunday, 26 May, 2024","Congress shared a video showing stand-up comedian Vikas Kush Sharma interacting with a man who had lotus tattoo on his arm. As Sharma indicated that the man was a ""true"" BJP fan, the man clarified that his name is Kamal (lotus) and he'll vote for Congress. The video then played 'Moye Moye' song. Congress said, ""Moye moye...[will] happen with Modiji.""",https://www.timesnownews.com/viral/moye-moye-moment-congress-shares-video-of-a-man-with-lotus-tattoo-dont-miss-the-end-watch-article-110432242/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,T'gana bans manufacturing & sale of gutkha & pan masala for 1 year,"Sunday, 26 May, 2024","Telangana has banned the manufacturing, storage, distribution, transportation and sale of gutkha and pan masala products containing tobacco and nicotine for one year. The state's Commissioner of Food Safety said the order was taken ""in interest of public health"" and will apply to products which are packed in sachets/pouches/containers etc. The ban across the state is effective immediately.",https://www.ndtvprofit.com/law-and-policy/telangana-bans-gutkha-and-pan-masala-for-one-year?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,IMD issues heat wave alert for multiple regions in India,"Sunday, 26 May, 2024","IMD warns of heat wave in West Rajasthan, isolated parts of Punjab, Haryana-Chandigarh-Delhi, Uttar Pradesh, East Rajasthan, and Vidarbha on May 30, 2024. Residents advised precautions like staying hydrated and avoiding outdoor activities. Authorities urge vigilance and readiness to tackle the extreme heat. Stay updated with official weather advisories for safety measures.",https://www.refersms.com/imd-issues-heat-wave-alert-for-multiple-regions-on-may-30-2024-2024-5-26/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Had saved money for her: Father of 12-day-old girl dead in Delhi fire,"Sunday, 26 May, 2024","The father of a 12-day-old baby who died in a fire in Baby Care New Born Hospital in Delhi has said that he had saved money for her. ""I consider the baby care responsible and also the hospital which referred her here. I want justice for all the babies,"" the father added. Seven newborns died in the incident.",https://www.freepressjournal.in/india/delhi-childrens-hospital-fire-had-saved-money-for-baby-didnt-know-she-would-be-dead-says-girls-father-in-heartbreaking-video?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,"'Had saved money for baby', says father of girl dead in Delhi fire","Sunday, 26 May, 2024","""The girl was 12-day-old. I consider the baby care (facility) responsible and also the hospital which referred here. I want justice for all the babies. I request the PM and the CM to ensure justice. I had saved money for the baby. I did not know that she would die,"" says the shattered man in the video.",https://www.freepressjournal.in/india/delhi-childrens-hospital-fire-had-saved-money-for-baby-didnt-know-she-would-be-dead-says-girls-father-in-heartbreaking-video?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Akola hottest city in Maha at 45.8°C; Sec 144 imposed till May 31,"Sunday, 26 May, 2024","Akola recorded the maximum temperature above 45°C on Friday and Saturday making it the hottest city in Maharashtra, as per the India Meteorological Department's (IMD) data. In view of the heatwave conditions in Akola, Collector Ajit Kumbhar on Saturday imposed Section 144 till May 31, prohibiting public gatherings. Workers engaged in the industrial sector shouldn't work in sun, order said.",https://www.hindustantimes.com/india-news/india-heatwave-news-live-red-alerts-for-rajasthan-other-states-101716701638658-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Kakani files complaint over ‘forged' car pass found at rave party,"Sunday, 26 May, 2024","A rave party busted on Bengaluru outskirts has triggered a political slugfest between the YSRCP and TDP in Andhra Pradesh after a car pass, purportedly of Andhra Minister Kakani Govardhan Reddy, was found at the farmhouse near Electronic City, where the party was organised. The minister has now complained to the Nellore police that a forged car pass was used.",https://thesouthfirst.com/andhrapradesh/ysrcp-minister-kakani-lodges-complaint-over-forged-car-pass-found-at-bengaluru-rave-party-venue/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
