category,titles,date,descriptions,urls
business,"LIC announces highest-ever dividend at ₹6/share, govt to get ₹3,662 cr","Monday, 27 May, 2024","Life Insurance Corporation of India (LIC) has announced a final dividend of ₹6 per share for the fiscal year 2023-24. It is also LIC's highest-ever payout to its shareholders as it paid a final dividend of ₹3 per share last year. As the majority stakeholder with 96.5% shares, the Government of India would reportedly receive ₹3,662 crore dividend from LIC.",https://www.cnbctv18.com/market/lic-share-price-dividend-life-insurance-corp-govt-to-get-rs-3662-crore-record-date-july-19-19418495.htm/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,Tier-3 towns showing highest demand for phone upgrades: Samsung,"Monday, 27 May, 2024","India's smaller towns are showing the maximum appetite for phone upgrades, helping Samsung post stronger value growth as volumes plateau in the smartphone industry, according to a top company executive. ""Something that we see today and where we're growing quite well is the Tier-III and below to categories like ₹20,000-30,000 segment,"" said Raju Pullan, senior VP, Samsung's smartphone division.",https://www.ndtvprofit.com/business/samsung-says-tier-3-towns-showing-highest-demand-for-phone-upgrades?src=p1&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"Is the US bullish on DeFi? Nearly, says industry expert","Monday, 27 May, 2024","Crypto bill FIT21 sets new definitions for digital assets. The criteria determine if an asset is regulated as a security or commodity. It's a relief for the industry, but also comes with complications. Is it clear enough for the crypto industry? Nearly, says Rashan Colbert, head of policy at decentralised trading platform dYdX Trading.",https://www.dlnews.com/articles/regulation/how-the-fit21-bill-impacts-defi/?utm_source=inshorts&utm_medium=referral&utm_campaign=inshorts_content_partnership&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Honasa buys Cosmogenesis Labs to strengthen its R&D capabilities,"Monday, 27 May, 2024","Honasa Consumer Ltd., the parent company of well-known personal care brands like Mamaearth, The Derma Co., Aqualogica, and Dr Sheth's, recently announced a strategic acquisition of CosmoGenesis Labs' assets. Founded in 2011, CosmoGenesis is a notable player in cosmetic formulation and development within the premium skincare sector.",https://indianstartupnews.com/news/mamaearth-parent-honasa-acquires-cosmogenesis-labs-to-strengthens-its-r-and-d-capabilities-4613762?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,How Millennium is making a killing with BlackRock’s Bitcoin ETF,"Monday, 27 May, 2024","While some celebrated the $60 billion firm Millennium Management buying roughly $2 billion in various Bitcoin ETFs, the purchase is likely part of a more complicated trade. The Millennium had likely deployed a trading strategy called the ""basis trade"". The traders, who asked not to be named, don't work at Millennium but have relevant experience at Wall Street trading firms.",https://www.dlnews.com/articles/snapshot/how-millennium-is-making-a-killing-with-blackrocks-bitcoin-etf/?utm_source=inshorts&utm_medium=referral&utm_campaign=inshorts_content_partnership&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,BSNL to pay ₹132 cr to Boston Consulting Group for revival plan: Report,"Monday, 27 May, 2024","BSNL will be paying ₹132 crore to Boston Consulting Group (BCG) to prepare a three-year roadmap for its revival, Financial Express reported. BCG is reported to advise the state-owned telecom service provider in reducing operational cost, improving revenue and leveraging emerging technologies to improve sales, among others. BSNL has a target to achieve ₹35,960 crore operating revenue by 2027-28.",https://www.financialexpress.com/business/industry-boston-consulting-group-to-draw-up-bsnls-revival-plan-3502328/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
business,"Cybercriminals posing as Police, CBI, ED and customs: NCRP","Monday, 27 May, 2024","Earlier this month, the Cyber Crime Reporting Portal (NCRP) stated that it has reported a large number of complaints regarding intimidation, blackmail, extortion, and Digital Arrests by cybercriminals posing as Police Authorities, CBI, Narcotics Department, ED, customs, and other Law Enforcement agencies.",https://business.outlookindia.com/personal-finance-news/beware-of-scammers-putting-you-under-digital-arrests-look-out-for-these-obvious-signs?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,What happens to credit card debt if debtor dies suddenly?,"Monday, 27 May, 2024","Credit card debt does not go away once you die. On the contrary, it is paid off using estate assets or it is managed by the joint account holder or cosigner. While your heirs can inherit other assets, they are not legally responsible for your credit card debts. The creditor might still contact them and ask them to pay.",https://business.outlookindia.com/banking/what-happens-to-your-credit-card-debt-if-you-die-suddenly?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,Delhi HC orders SpiceJet to return cannibalized aircraft & engines,"Monday, 27 May, 2024","The Delhi High Court has upheld a previous order requiring SpiceJet Ltd. to comply with a UK court ruling and return two leased aircraft and three engines to TWC Aviation Capital (TWC). The court has set a deadline of June 17 for the return of the aircraft, engines, and technical records.",https://www.ndtvprofit.com/law-and-policy/delhi-high-court-orders-spicejet-to-return-cannibalized-aircraft-and-engines?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
business,"Adani Energy Solutions to raise upto ₹12,500 crore","Monday, 27 May, 2024","Adani Energy Solutions Ltd (AESL) announced on May 27 plans to raise up to ₹12,500 crore via Qualified Institutional Placement (QIP) or other methods. The move requires approval at the Annual General Meeting on June 25. Recently, AESL acquired Essar Transco Ltd for ₹1,900 crore, expanding its network to over 21,000 circuit kilometres.",https://www.siasat.com/adani-energy-solutions-to-raise-upto-rs-12500-crore-3033619/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
